,npi,nppes_provider_city,nppes_provider_zip,nppes_provider_state,avg_medicare_pay_ratio,payed_to_requested_ratio,Cluster
9225,1649420837.0,DURHAM,277042167,NC,0.9651345465439491,0.26175428758170477,2
9228,1083880132.0,BURLINGTON,272158700,NC,0.949350300009845,0.3142196809100557,2
9236,1154582419.0,FRANKLIN,28734,NC,0.9573933319398636,0.28878713260304045,2
9237,1558327858.0,MORGANTON,286554044,NC,0.9962331585674271,0.08671501467893312,2
9238,1477551760.0,CHARLOTTE,282043260,NC,0.9558198779863094,0.29395299087819576,2
9248,1154363646.0,CHARLOTTE,282035812,NC,0.9900660711308397,0.14060289753608554,2
9252,1578582797.0,CHARLOTTE,282035812,NC,0.9815487985637631,0.19121180935819165,2
9260,1730340696.0,CHAPEL HILL,275997010,NC,0.9792991161410463,0.20241848019725334,2
9261,1821260431.0,DURHAM,277100001,NC,0.9494620060893224,0.31388198258714933,2
9267,1578505541.0,ADVANCE,270066782,NC,0.9545177507390077,0.2981540935894484,2
9271,1548511207.0,SMITHFIELD,275774405,NC,0.9822899638920799,0.18736709112567362,2
9277,1205154465.0,FAYETTEVILLE,283043978,NC,0.9626192267518197,0.27085831035382435,2
9278,1912314741.0,BURLINGTON,272158700,NC,0.9683029082454022,0.2497788579593881,2
9280,1518128180.0,CHAPEL HILL,275144220,NC,0.9699060952370354,0.24347929362072407,2
9285,1568591626.0,RALEIGH,276101231,NC,0.9834889469836263,0.18096820483454504,2
9288,1720314420.0,CONOVER,286138245,NC,0.9654115977975358,0.260730602035912,2
9291,1114239126.0,WINSTON SALEM,271571021,NC,0.9738615855548564,0.22714227299334044,2
9294,1497929178.0,DURHAM,277053941,NC,0.9773616858424059,0.21157536493479168,2
9299,1659551604.0,WINSTON SALEM,271570001,NC,0.9469398104314569,0.3214109447732552,2
9300,1528400272.0,CHAPEL HILL,275997215,NC,0.9798040587804069,0.19996001199600144,2
9302,1053367250.0,PFAFFTOWN,270409415,NC,0.9747582422656038,0.22326300440348484,2
9303,1033150008.0,PINEHURST,283748708,NC,0.954172150360049,0.299258262170454,2
9304,1619101367.0,CHARLOTTE,282035203,NC,0.9816771428590707,0.19055179660147947,2
9309,1194775114.0,CHARLOTTE,28204,NC,0.9890444095592212,0.14761827772891628,2
9319,1972897635.0,WINSTON SALEM,271035661,NC,0.9636666731423701,0.2671077368305088,2
9320,1346277704.0,WINSTON SALEM,271570001,NC,0.9488005704649738,0.3158757310800251,2
9321,1497291645.0,LAURINBURG,28352,NC,0.9889709775793643,0.1481094375984081,2
9322,1174807895.0,CHARLOTTE,282043109,NC,0.960982143041251,0.2766104133178006,2
9324,1033319116.0,ASHEVILLE,288033505,NC,0.9744639589773084,0.22454396597163406,2
9331,1427332675.0,GREENVILLE,278344300,NC,0.960590088950739,0.2779688489914139,2
9343,1255388096.0,PINEHURST,283748710,NC,0.9949836185710986,0.10003798666088072,2
9344,1750333951.0,WILMINGTON,284017407,NC,0.9967169668393902,0.08096473315268801,2
9345,1518156181.0,FORT BRAGG,28320,NC,0.9911382313891554,0.13283450710857134,2
9348,1508841479.0,RALEIGH,276077505,NC,0.997615529920602,0.06901633474212078,2
9352,1386696714.0,CHAPEL HILL,275144423,NC,0.9810102752716937,0.19395576766715572,2
9361,1982089629.0,ARCHDALE,272632906,NC,0.9670922366237662,0.254426032201977,2
9365,1083636948.0,GREENVILLE,278343701,NC,0.9825310734538885,0.18609860208381368,2
9368,1073658670.0,CHARLOTTE,282042515,NC,0.9926979279266742,0.12062679590409252,2
9377,1689017410.0,RALEIGH,276077505,NC,0.9959415490969931,0.0900023932030781,2
9379,1669433827.0,DURHAM,277042121,NC,0.9872517102776641,0.15916676962804516,2
9387,1366684904.0,GREENVILLE,278345758,NC,0.9487547029897316,0.3160134705275489,2
9389,1811215205.0,CHAPEL HILL,275997160,NC,0.9564298488083839,0.29196223096210955,2
9393,1770713570.0,WINSTON SALEM,271036984,NC,0.9954726262610899,0.09504867366170038,2
9394,1649207895.0,CHARLOTTE,282035812,NC,0.9929126005730389,0.1188468242036138,2
9395,1891801882.0,GREENSBORO,274011004,NC,0.9588496087035939,0.2839144728416725,2
9411,1578764213.0,RALEIGH,276097376,NC,0.9499633267918799,0.31236145368867774,2
9419,1841660487.0,MONROE,281126000,NC,0.9876530067211063,0.15665739151013025,2
9427,1730528779.0,GREENSBORO,274011004,NC,0.9543185586644403,0.29879104502749937,2
9429,1023052586.0,CHARLOTTE,282108407,NC,0.9876180824366453,0.15687741470384967,2
9431,1730530445.0,HIGH POINT,272627075,NC,0.9679999432490629,0.25095041316923733,2
9435,1508942277.0,DURHAM,277100001,NC,0.9832159745876863,0.18244546394905536,2
9446,1497012686.0,SANFORD,273304162,NC,0.9822097379442003,0.1877871952173128,2
9451,1861490559.0,WINNEMUCCA,894453247,NV,0.959167066391614,0.2828401293128422,2
9462,1891040390.0,LAS VEGAS,891156743,NV,0.9832297350842956,0.1823712917267021,2
9463,1811126543.0,LAS VEGAS,891022351,NV,0.982515153124344,0.18618263582044028,2
9464,1881771251.0,CARSON CITY,897034625,NV,0.9848743450277594,0.1732700912048644,2
9472,1801107891.0,RENO,895113019,NV,0.9499307715339317,0.3124604443652816,2
9475,1487881249.0,HENDERSON,890123494,NV,0.9934970413503621,0.11385793265327152,2
9476,1225394000.0,NELLIS AFB,891916600,NV,0.9871340039657467,0.1598951475641249,2
9480,1639313802.0,LAS VEGAS,891021998,NV,0.9870157825045898,0.1606233018178007,2
9481,1013160274.0,RENO,895020523,NV,0.983489777591972,0.1809636907561662,2
9484,1154486769.0,RENO,895113019,NV,0.9847690753996168,0.17386738663873608,2
9487,1568448371.0,LAS VEGAS,891289028,NV,0.9709343678835151,0.23934588624549025,2
9496,1508842592.0,LAS VEGAS,891289028,NV,0.9786454385193544,0.2055556023689469,2
9498,1831485168.0,RENO,89502,NV,0.9787186567297604,0.20520670303158556,2
9502,1144298928.0,LAS VEGAS,891297725,NV,0.9504633223189654,0.3108367303366746,2
9504,1508055765.0,LAS VEGAS,891916600,NV,0.9759645084084391,0.21792952605618643,2
9506,1700800992.0,HENDERSON,890114601,NV,0.9731592882618598,0.23013256977157878,2
9511,1801867502.0,RENO,89509,NV,0.9548096418500986,0.29721801397305364,2
9514,1396779831.0,LAS VEGAS,891064894,NV,0.9470431098456874,0.32110644355697576,2
9524,1417916354.0,NELLIS AFB,891916600,NV,0.9753929504093144,0.22047356370280036,2
9525,1629070529.0,LAS VEGAS,891481253,NV,0.9726069119763441,0.23245600610833875,2
9527,1134194822.0,RENO,895201576,NV,0.9552703322594758,0.29573398909302023,2
9532,1467775700.0,HENDERSON,890524952,NV,0.9506587301574168,0.3102385836344145,2
9538,1801000393.0,RENO,895035345,NV,0.9714971604650735,0.23705119111343662,2
9541,1790756617.0,LAS VEGAS,891022179,NV,0.9506430113201619,0.31028674645903637,2
9543,1568656213.0,LAS VEGAS,891297457,NV,0.9825487830911097,0.1860050774741901,2
9544,1619292588.0,RENO,895034415,NV,0.9798123070459624,0.19991959123924963,2
9549,1790923191.0,LAS VEGAS,891280436,NV,0.9916260427440509,0.12914252340640486,2
9550,1306191994.0,HENDERSON,89052,NV,0.9592646456283384,0.2825090080821114,2
9551,1104168293.0,NELLIS AFB,891916600,NV,0.9892877402178687,0.14597865273601687,2
9555,1922180439.0,LAS VEGAS,891305286,NV,0.9693982133983328,0.24549359229951534,2
9559,1225003494.0,NELLIS AFB,891916600,NV,0.9847872299922572,0.17376452930381717,2
9565,1295840643.0,HENDERSON,890747324,NV,0.9800419725002544,0.19879067417213225,2
9567,1811093669.0,LAS VEGAS,891022329,NV,0.9904639124322187,0.13777241439948104,2
9570,1366876450.0,LAS VEGAS,891297456,NV,0.9896029194018325,0.1438264993364233,2
9572,1285063347.0,LAS VEGAS,891298932,NV,0.9883710050447116,0.15206168612410761,2
9581,1558707976.0,SPARKS,894367708,NV,0.9654409580280321,0.26062186508793844,2
9582,1104865815.0,LAS VEGAS,891064119,NV,0.9917377090267935,0.12828217527890293,2
9598,1417114166.0,LAS VEGAS,891182557,NV,0.9644425928101334,0.26429242360246935,2
9599,1770820110.0,LAS VEGAS,891024266,NV,0.9836974093074571,0.17983160712677046,2
9600,1285988865.0,LAS VEGAS,891213609,NV,0.9505933878912933,0.3104387393631035,2
9602,1295034759.0,LAS VEGAS,891022227,NV,0.9822175789247398,0.18774617879259897,2
9608,1316232846.0,LAS VEGAS,891064194,NV,0.9834933654887237,0.18094419040042148,2
9611,1336193556.0,LAS VEGAS,891064119,NV,0.9910288562451494,0.13364806803478738,2
9612,1336195122.0,LAS VEGAS,891064119,NV,0.9919965483552814,0.12626499139194494,2
9614,1306290341.0,HENDERSON,890525013,NV,0.9794010725458678,0.20192458764599203,2
9616,1417025362.0,RENO,895034548,NV,0.9858416109018305,0.16767921223122403,2
9620,1700971116.0,RENO,895022586,NV,0.9501524739586259,0.31178562543886285,2
9622,1124097928.0,RENO,895034522,NV,0.9698311091128119,0.24377780825377265,2
9623,1275673162.0,LAS VEGAS,891022329,NV,0.9927819728188932,0.11993312488977508,2
9630,1043274459.0,LAS VEGAS,891280269,NV,0.9597337775544771,0.28091115360735247,2
9631,1245338185.0,NELLIS AFB,891916601,NV,0.9760064016523585,0.2177418286265071,2
9637,1245237346.0,LAS VEGAS,891024358,NV,0.9687743963910226,0.24794388255653751,2
9641,1467794032.0,LAS VEGAS,891063836,NV,0.9711317051871958,0.2385439397264358,2
9650,1407825185.0,LAS VEGAS,891022149,NV,0.9818895515251018,0.18945423881727905,2
9655,1720068125.0,LAS VEGAS,891481253,NV,0.990164041243139,0.13991129843245428,2
9658,1912978305.0,LAS VEGAS,891481253,NV,0.9872915640411826,0.15891937444224868,2
9661,1386815199.0,LAS VEGAS,891481253,NV,0.990527021750426,0.13731794923545565,2
9666,1265424428.0,HENDERSON,890157055,NV,0.9748553724059769,0.22283851303399985,2
9671,1962619825.0,RENO,895034548,NV,0.9830464301776801,0.18335680002366833,2
9678,1598131211.0,FALLON,894063052.0,NV,0.9799053176057005,0.19946320093709302,2
9683,1316261043.0,LAS VEGAS,891297456,NV,0.9802208983050112,0.19790651966551429,2
9684,1164598686.0,RENO,895034548,NV,0.9802451951334332,0.19778614061105862,2
9689,1831453109.0,CARSON CITY,897034643,NV,0.9520641412844434,0.3058984649852229,2
9690,1245236280.0,RENO,895201576,NV,0.9762086762021271,0.21683316284113607,2
9694,1245306927.0,LAS VEGAS,891043733,NV,0.9653852003715591,0.2608283245806806,2
9695,1124033709.0,LAS VEGAS,891476726,NV,0.9968915526806781,0.07878598983262723,2
9700,1689936437.0,LAS VEGAS,891022207,NV,0.9813666060492283,0.19214469685999333,2
9705,1194173732.0,LAS VEGAS,89128,NV,0.9946211016679557,0.10358023033775436,2
